Price,Area,No. of Bedrooms,Gymnasium,SwimmingPool,LandscapedGardens,IndoorGames,SportsFacility,ATM,ClubHouse,24X7Security,PowerBackup,CarParking,LiftAvailable,furnishing
5.426,1.08,2,1,1,1,1,0,0,0,1,1,0,1,0
13.0,1.8,3,0,0,0,0,0,0,0,0,0,0,1,0
4.85,1.06,2,1,0,0,0,0,0,1,0,1,1,1,0
4.604,1.54,3,1,1,1,0,0,0,0,1,1,1,1,0
3.607,1.11,3,1,1,1,0,0,0,1,1,1,0,1,0
16.5,1.645,3,1,1,1,1,1,0,1,1,1,1,1,0
4.84,1.345,3,1,0,1,1,0,0,0,1,1,1,1,0
25.8,1.866,3,1,1,0,0,0,0,1,1,1,1,1,0
51.0,3.5,3,1,1,0,1,1,0,1,1,1,1,0,0
4.809,1.145,2,1,1,1,1,0,0,1,1,1,0,1,0
5.07,0.935,2,1,1,1,1,0,1,1,1,1,1,1,0
10.5,1.455,3,1,1,1,1,1,0,1,1,1,1,1,2
6.85,1.305,2,1,0,0,0,1,0,0,0,1,0,1,2
4.58,1.145,2,0,1,0,0,0,0,0,0,0,1,1,0
5.559,1.635,3,1,1,1,1,1,0,1,1,1,0,1,0
4.723,1.145,2,1,0,0,0,0,0,0,1,1,1,1,0
4.465,1.175,3,0,0,0,0,0,0,0,0,0,0,0,0
8.954,1.216,2,1,1,1,1,0,0,1,1,1,1,1,0
4.0,1.005,2,0,0,0,0,0,0,0,0,0,0,0,0
5.4,1.2,2,0,0,0,0,0,0,0,0,0,0,0,2
8.784,1.279,2,1,1,1,1,0,1,1,1,1,1,1,0
7.9,1.18,2,1,1,1,1,1,0,1,1,1,1,1,2
4.781,1.31,3,1,1,1,1,1,0,1,1,1,1,1,0
15.0,1.776,3,1,1,1,1,0,0,1,1,1,1,1,0
4.7,1.125,2,1,0,0,0,0,0,0,1,1,1,1,0
7.767,1.195,3,1,1,0,1,1,0,1,0,1,0,1,0
6.487,1.272,2,1,1,1,0,1,0,0,1,1,1,1,0
14.0,2.17,3,1,1,1,0,1,0,1,1,1,1,1,0
8.758,1.51,3,0,0,0,0,0,0,0,0,0,0,0,0
13.1,1.846,3,1,1,0,0,0,0,0,0,0,0,0,0
5.5,1.17,2,0,0,0,0,0,0,0,0,0,0,0,0
4.9,1.215,2,0,0,0,0,0,0,0,0,0,0,0,0
4.545,1.045,2,1,0,0,0,0,0,0,1,1,0,1,0
8.779,1.245,2,1,1,1,1,1,1,1,1,1,1,1,0
22.0,1.833,3,1,1,1,1,0,1,1,1,1,1,1,0
5.329,0.969,2,1,1,1,1,0,0,1,1,0,1,0,0
7.5,1.1,2,0,0,0,0,0,0,0,0,0,0,1,0
3.779999,0.9,2,1,0,0,0,0,0,0,1,1,0,1,0
8.954,1.216,2,1,1,1,1,0,0,1,1,1,1,1,0
9.0,1.306,2,1,1,0,0,1,0,0,0,1,1,1,2
25.8,1.866,3,1,1,0,0,0,0,1,1,1,1,1,0
8.954,1.216,2,1,1,1,1,0,0,1,1,1,1,1,0
13.1,1.846,3,1,1,0,0,0,0,0,0,0,0,0,0
8.218,1.505,3,1,1,1,1,0,0,1,1,1,1,1,0
8.656,1.502,3,1,1,1,1,0,0,1,1,1,1,1,0
7.52,1.675,3,0,0,0,0,0,0,0,0,1,0,1,0
6.148,1.083,3,1,1,1,1,1,1,1,1,1,1,1,0
11.0,1.805,3,1,1,1,1,1,1,1,1,1,1,1,0
11.399999,1.88,3,1,1,1,1,1,1,1,1,1,1,1,0
13.0,2.18,4,1,1,1,1,1,1,1,1,1,1,1,0
11.299999,1.85,3,1,1,1,1,1,1,1,1,1,1,1,0
4.9,1.188,2,1,1,1,0,0,0,0,1,0,0,1,0
5.002,1.215,2,1,1,1,0,0,0,0,1,0,0,1,0
5.036,1.224,2,1,1,1,0,0,0,0,1,0,0,1,0
6.736,1.35,2,0,0,0,0,0,0,0,0,1,0,1,0
8.233,1.65,3,0,0,0,0,0,0,0,0,1,0,1,0
6.761,1.355,3,0,0,0,0,0,0,0,0,1,0,1,0
6.611,1.325,2,0,0,0,0,0,0,0,0,1,0,1,0
6.287,1.26,2,0,0,0,0,0,0,0,0,1,0,1,0
